Vernier Format 2
mb50_ff_1.cmbl 04/03/2021 12:56:45 .
Latest
Time	Force
t	Force
s	N

96.902	-1.37329101563
96.904	-1.37329101563
96.906	-1.37329101563
96.908	-1.37329101563
96.91	-1.37329101563
96.912	-1.37329101563
96.914	-1.37329101563
96.916	-1.37329101563
96.918	-1.37329101563
96.92	-1.37329101563
96.922	-1.37329101563
96.924	-1.37329101563
96.926	-1.37329101563
96.928	-1.37329101563
96.93	-1.37329101563
96.932	-1.37329101563
96.934	-1.37329101563
96.936	-1.37329101563
96.938	-1.37329101563
96.94	-1.37329101563
96.942	-1.37329101563
96.944	-2.59399414063
96.946	-1.37329101563
96.948	-1.37329101563
96.95	-1.37329101563
96.952	-1.37329101563
96.954	-1.37329101563
96.956	-1.37329101563
96.958	-1.37329101563
96.96	-2.59399414063
96.962	-1.37329101563
96.964	-1.37329101563
96.966	-1.37329101563
96.968	-1.37329101563
96.97	-1.37329101563
96.972	-1.37329101563
96.974	-1.37329101563
96.976	-1.37329101563
96.978	-1.37329101563
96.98	-1.37329101563
96.982	-1.37329101563
96.984	-1.37329101563
96.986	-1.37329101563
96.988	-1.37329101563
96.99	-1.37329101563
96.992	-1.37329101563
96.994	-1.37329101563
96.996	-1.37329101563
96.998	-1.37329101563
97	-2.59399414063
97.002	-2.59399414063
97.004	-1.37329101563
97.006	-1.37329101563
97.008	-1.37329101563
97.01	-1.37329101563
97.012	-1.37329101563
97.014	-1.37329101563
97.016	-1.37329101563
97.018	-1.37329101563
97.02	-1.37329101563
97.022	-1.37329101563
97.024	-1.37329101563
97.026	-1.37329101563
97.028	-1.37329101563
97.03	-1.37329101563
97.032	-1.37329101563
97.034	-1.37329101563
97.036	-1.37329101563
97.038	-1.37329101563
97.04	-1.37329101563
97.042	-1.37329101563
97.044	-1.37329101563
97.046	-1.37329101563
97.048	-1.37329101563
97.05	-1.37329101563
97.052	-1.37329101563
97.054	-1.37329101563
97.056	-1.37329101563
97.058	-1.37329101563
97.06	-1.37329101563
97.062	-1.37329101563
97.064	-1.37329101563
97.066	-1.37329101563
97.068	-1.37329101563
97.07	-1.37329101563
97.072	-1.37329101563
97.074	-1.37329101563
97.076	-1.37329101563
97.078	-1.37329101563
97.08	-1.37329101563
97.082	-1.37329101563
97.084	-1.37329101563
97.086	-1.37329101563
97.088	-1.37329101563
97.09	-1.37329101563
97.092	-1.37329101563
97.094	-1.37329101563
97.096	-1.37329101563
97.098	-1.37329101563
97.1	-1.37329101563
97.102	-1.37329101563
97.104	-1.37329101563
97.106	-1.37329101563
97.108	-1.37329101563
97.11	-1.37329101563
97.112	-1.37329101563
97.114	-1.37329101563
97.116	-1.37329101563
97.118	-1.37329101563
97.12	-1.37329101563
97.122	-1.37329101563
97.124	-1.37329101563
97.126	-1.37329101563
97.128	-1.37329101563
97.13	-1.37329101563
97.132	-1.37329101563
97.134	-1.37329101563
97.136	-1.37329101563
97.138	-1.37329101563
97.14	-1.37329101563
97.142	-1.37329101563
97.144	-1.37329101563
97.146	-1.37329101563
97.148	-1.37329101563
97.15	-1.37329101563
97.152	-1.37329101563
97.154	-1.37329101563
97.156	-1.37329101563
97.158	-1.37329101563
97.16	-1.37329101563
97.162	-1.37329101563
97.164	-1.37329101563
97.166	-1.37329101563
97.168	-1.37329101563
97.17	-1.37329101563
97.172	-1.37329101563
97.174	-1.37329101563
97.176	-1.37329101563
97.178	-1.37329101563
97.18	-1.37329101563
97.182	-1.37329101563
97.184	-1.37329101563
97.186	-1.37329101563
97.188	-1.37329101563
97.19	-1.37329101563
97.192	-1.37329101563
97.194	-1.37329101563
97.196	-1.37329101563
97.198	-1.37329101563
97.2	-1.37329101563
97.202	-1.37329101563
97.204	-1.37329101563
97.206	-1.37329101563
97.208	-1.37329101563
97.21	-1.37329101563
97.212	-1.37329101563
97.214	-1.37329101563
97.216	-1.37329101563
97.218	-1.37329101563
97.22	-1.37329101563
97.222	-1.37329101563
97.224	-1.37329101563
97.226	-1.37329101563
97.228	-1.37329101563
97.23	-1.37329101563
97.232	-1.37329101563
97.234	-1.37329101563
97.236	-1.37329101563
97.238	-1.37329101563
97.24	-1.37329101563
97.242	-1.37329101563
97.244	-1.37329101563
97.246	-1.37329101563
97.248	-1.37329101563
97.25	-1.37329101563
97.252	-1.37329101563
97.254	-1.37329101563
97.256	-1.37329101563
97.258	-1.37329101563
97.26	-1.37329101563
97.262	-1.37329101563
97.264	-1.37329101563
97.266	-1.37329101563
97.268	-1.37329101563
97.27	-1.37329101563
97.272	-1.37329101563
97.274	-1.37329101563
97.276	-1.37329101563
97.278	-1.37329101563
97.28	-1.37329101563
97.282	-1.37329101563
97.284	-1.37329101563
97.286	-1.37329101563
97.288	-1.37329101563
97.29	-1.37329101563
97.292	-1.37329101563
97.294	-1.37329101563
97.296	-1.37329101563
97.298	-1.37329101563
97.3	-1.37329101563
97.302	-1.37329101563
97.304	-1.37329101563
97.306	-1.37329101563
97.308	-1.37329101563
97.31	-1.37329101563
97.312	-1.37329101563
97.314	-1.37329101563
97.316	-1.37329101563
97.318	-1.37329101563
97.32	-1.37329101563
97.322	-1.37329101563
97.324	-1.37329101563
97.326	-1.37329101563
97.328	-1.37329101563
97.33	-1.37329101563
97.332	-1.37329101563
97.334	-1.37329101563
97.336	-1.37329101563
97.338	-1.37329101563
97.34	-1.37329101563
97.342	-1.37329101563
97.344	-1.37329101563
97.346	-1.37329101563
97.348	-1.37329101563
97.35	-1.37329101563
97.352	-1.37329101563
97.354	-1.37329101563
97.356	-0.152587890625
97.358	-1.37329101563
97.36	-1.37329101563
97.362	-1.37329101563
97.364	-1.37329101563
97.366	-1.37329101563
97.368	-1.37329101563
97.37	-1.37329101563
97.372	-1.37329101563
97.374	-1.37329101563
97.376	-1.37329101563
97.378	-1.37329101563
97.38	-1.37329101563
97.382	-1.37329101563
97.384	-1.37329101563
97.386	-1.37329101563
97.388	-1.37329101563
97.39	-1.37329101563
97.392	-1.37329101563
97.394	-1.37329101563
97.396	-1.37329101563
97.398	-1.37329101563
97.4	-1.37329101563
97.402	-1.37329101563
97.404	-1.37329101563
97.406	-1.37329101563
97.408	-1.37329101563
97.41	-1.37329101563
97.412	-0.152587890625
97.414	-1.37329101563
97.416	-1.37329101563
97.418	-1.37329101563
97.42	-1.37329101563
97.422	-1.37329101563
97.424	-1.37329101563
97.426	-1.37329101563
97.428	-1.37329101563
97.43	-1.37329101563
97.432	-1.37329101563
97.434	-1.37329101563
97.436	-1.37329101563
97.438	-1.37329101563
97.44	-1.37329101563
97.442	-1.37329101563
97.444	-1.37329101563
97.446	-1.37329101563
97.448	-1.37329101563
97.45	-1.37329101563
97.452	-1.37329101563
97.454	-1.37329101563
97.456	-1.37329101563
97.458	-1.37329101563
97.46	-1.37329101563
97.462	-1.37329101563
97.464	-1.37329101563
97.466	-1.37329101563
97.468	-1.37329101563
97.47	-1.37329101563
97.472	-1.37329101563
97.474	-1.37329101563
97.476	-1.37329101563
97.478	-1.37329101563
97.48	-1.37329101563
97.482	-1.37329101563
97.484	-1.37329101563
97.486	-1.37329101563
97.488	-1.37329101563
97.49	-1.37329101563
97.492	-1.37329101563
97.494	-1.37329101563
97.496	-1.37329101563
97.498	-1.37329101563
97.5	-1.37329101563
97.502	-1.37329101563
97.504	-1.37329101563
97.506	-1.37329101563
97.508	-1.37329101563
97.51	-0.152587890625
97.512	-1.37329101563
97.514	-1.37329101563
97.516	-0.152587890625
97.518	-1.37329101563
97.52	-1.37329101563
97.522	-1.37329101563
97.524	-1.37329101563
97.526	-1.37329101563
97.528	-0.152587890625
97.53	-1.37329101563
97.532	-1.37329101563
97.534	-1.37329101563
97.536	-1.37329101563
97.538	-1.37329101563
97.54	-1.37329101563
97.542	-1.37329101563
97.544	-1.37329101563
97.546	-1.37329101563
97.548	-1.37329101563
97.55	-1.37329101563
97.552	-1.37329101563
97.554	-1.37329101563
97.556	-1.37329101563
97.558	-1.37329101563
97.56	-1.37329101563
97.562	-1.37329101563
97.564	-0.152587890625
97.566	-1.37329101563
97.568	-1.37329101563
97.57	-1.37329101563
97.572	-1.37329101563
97.574	-1.37329101563
97.576	-1.37329101563
97.578	-1.37329101563
97.58	-1.37329101563
97.582	-1.37329101563
97.584	-1.37329101563
97.586	-1.37329101563
97.588	-1.37329101563
97.59	-1.37329101563
97.592	-1.37329101563
97.594	-1.37329101563
97.596	-1.37329101563
97.598	-1.37329101563
97.6	-1.37329101563
97.602	-1.37329101563
97.604	-1.37329101563
97.606	-1.37329101563
97.608	-1.37329101563
97.61	-1.37329101563
97.612	-0.152587890625
97.614	-0.152587890625
97.616	-0.152587890625
97.618	-1.37329101563
97.62	-1.37329101563
97.622	-1.37329101563
97.624	-1.37329101563
97.626	-1.37329101563
97.628	-0.152587890625
97.63	-1.37329101563
97.632	-1.37329101563
97.634	-1.37329101563
97.636	-1.37329101563
97.638	-1.37329101563
97.64	-1.37329101563
97.642	-1.37329101563
97.644	-1.37329101563
97.646	-1.37329101563
97.648	-1.37329101563
97.65	-1.37329101563
97.652	-1.37329101563
97.654	-1.37329101563
97.656	-1.37329101563
97.658	-1.37329101563
97.66	-1.37329101563
97.662	-1.37329101563
97.664	-1.37329101563
97.666	-1.37329101563
97.668	-1.37329101563
97.67	-1.37329101563
97.672	-1.37329101563
97.674	-1.37329101563
97.676	-1.37329101563
97.678	-1.37329101563
97.68	-1.37329101563
97.682	-1.37329101563
97.684	-1.37329101563
97.686	-1.37329101563
97.688	-1.37329101563
97.69	-1.37329101563
97.692	-1.37329101563
97.694	-1.37329101563
97.696	-1.37329101563
97.698	-1.37329101563
97.7	-1.37329101563
97.702	-1.37329101563
97.704	-1.37329101563
97.706	-1.37329101563
97.708	-1.37329101563
97.71	-1.37329101563
97.712	-1.37329101563
97.714	-1.37329101563
97.716	-1.37329101563
97.718	-1.37329101563
97.72	-1.37329101563
97.722	-1.37329101563
97.724	-1.37329101563
97.726	-1.37329101563
97.728	-1.37329101563
97.73	-1.37329101563
97.732	-1.37329101563
97.734	-1.37329101563
97.736	-1.37329101563
97.738	-2.59399414063
97.74	-1.37329101563
97.742	-1.37329101563
97.744	-1.37329101563
97.746	-1.37329101563
97.748	-1.37329101563
97.75	-1.37329101563
97.752	-1.37329101563
97.754	-1.37329101563
97.756	-1.37329101563
97.758	-1.37329101563
97.76	-1.37329101563
97.762	-1.37329101563
97.764	-1.37329101563
97.766	-1.37329101563
97.768	-1.37329101563
97.77	-1.37329101563
97.772	-1.37329101563
97.774	-1.37329101563
97.776	-1.37329101563
97.778	-1.37329101563
97.78	-1.37329101563
97.782	-1.37329101563
97.784	-1.37329101563
97.786	-1.37329101563
97.788	-1.37329101563
97.79	-1.37329101563
97.792	-1.37329101563
97.794	-1.37329101563
97.796	-1.37329101563
97.798	-1.37329101563
97.8	-1.37329101563
97.802	-1.37329101563
97.804	-1.37329101563
97.806	-1.37329101563
97.808	-1.37329101563
97.81	-1.37329101563
97.812	-1.37329101563
97.814	-1.37329101563
97.816	-1.37329101563
97.818	-1.37329101563
97.82	-1.37329101563
97.822	-1.37329101563
97.824	-1.37329101563
97.826	-1.37329101563
97.828	-1.37329101563
97.83	-1.37329101563
97.832	-1.37329101563
97.834	-1.37329101563
97.836	-1.37329101563
97.838	-1.37329101563
97.84	-1.37329101563
97.842	-1.37329101563
97.844	-1.37329101563
97.846	-1.37329101563
97.848	-0.152587890625
97.85	-1.37329101563
97.852	-1.37329101563
97.854	-1.37329101563
97.856	-1.37329101563
97.858	-1.37329101563
97.86	-1.37329101563
97.862	-1.37329101563
97.864	-1.37329101563
97.866	-0.152587890625
97.868	-1.37329101563
97.87	-0.152587890625
97.872	-1.37329101563
97.874	-1.37329101563
97.876	-1.37329101563
